source,author,upvotes,message_text,upvotes_normalized
im_a_noob_can_you_describe_all_civ_personalities,XxDiCaprioxX,140,"America: Washington is a dick and likes to denounce and also to backstab, is oretty shit at it tho so usually becomes irrelevant later.

Arabia: Harun is quite peaceful, but has a tendency to be strong on higher difficulties.

Assyria: Ashurbanipal is not that good at keeping up, when you're advancing to mid- and endgame, but throughout he is an annoying warmongerer and is likely to attack you early at least once.

Austria: Maria Theresia is very laid back and a big non-aggressor. However, she will likely become annoying diplomatically no matter what and her buying city states also sucks.

Aztec: Montezuma is a huge warmongerer and if you spawn next to him he will attack you early. He is aggressive and constantly tries to go to war.

Babylon: Nebuchadnezzar focuses on science and is very good, but not amazing, at it. He is unlikely to declare war on you but will be pissed pretty quickly, so don't expect a great friendship. He often stays strong until the end game and is a serious contender for science victory.

Brazil: Pedro is very loyal and friendly, as long as you do not get any warmonger penalties. As soon as he sees you as a problem, you are instantly his worst enemy basically. He won't war you, but he will find every possibility to diplomatically be an ass. He will strongly focus on culture and try to grab all the culture buildings for max tourism.

Byzantium: Theodora is very neutral in most aspects and won't be able to make good usage of her early unique units because she is more peaceful than war-focused. She will likely spam a fuckton of missionaries your way tho.

Carthage: Dido is a backstabber throughout the game, however your military is not that amazing usually. She focuses on expansion and getting some troops, usually either losing wars to the ai or teaming up with them to annoy you.

Celts: Boudicca is pretty loyal as long as you don't get multiple reasons for her to dislike you, then she might become unfriendly again. Also, if your military is week, you might be subject to an early game attack.

China: Wu Zetian always goes honor and tries to build up  a sizeable army with Chu-Ke-Nus(?). If there is a natural wonder close, hurry up or she will claim it faster. Expect her to be guarded quickly, but not an aggressor.

Denmark: Even on low difficulties, Harald Bluetooth is an arsehole and warmongerer, which only becomes worse on higher ones. He will try to build up a big military and do a mixed land and naval attack if possible. He is, however, not good at science, culture or anything alike so he will become irreleveant over the course of the game.

Netherlands: William is a diplomat, never focusing on anything but trade, agreements, and denouncing those he doesn't like, which might be you. He doesn't really build an army and thus is quite easy to conquer.

Egypt: Ramesses likes two things: spamming wonders and sending missionaries. His ability favors the first, too, so if he is in your game, less wonders for you. He won't war you if he isn't certain he'll win, but I'd still watch out he doesn't becone too powerful.

England: Elizabeth will build a big navy, but the ai is generally bad at naval warfare, so you should be safe. She always wants to know whether you would be interested in a trade agreement with England. She is reserved and doesn't change her opinion of you quickly, but if it changes, it might stay that way for the whole game.

Ethiopia: Haile Selassie is often in the middle of the field, not leading in science or dominating with culture but also not falling behind on everything. He is very cocky and will be caught up in wars late game. He is an okay neighbour but chances are, he will get annoyed at everything you do.

France: Napoleon is very balanced: He will build a sizeable, but not overly strong military, he might get a few wonders in, he will do some cultural stuff. Overall, France isn't really an outstanding civ so he likely will be on the weaker side.

Germany: Bismarck is loyal, unless you directly harm his interests, shich can make him a powerful ally at duo-warring the game leading civ. Aside from that, he will cause diplomatic turmoil so be prepared for that.

Greece: Alexander is extrenely annoying as he will buy all city states and then declare war on you, no matter what you do.

Huns: Attila is likely to war someone, if you are his neighbour, that someone is you. 

Inca: Pachacuti is friendly at first, but he becomes guarded and even hostile fater than many others. He doesn't have any traits that really set him apart, but he likely won't be weak in your games.

India: Gandhi loves peace. The only thing Gandhi loves more, is nuking you. This is not just a meme by the way, he literally has a value for that. Anyway, expect him to denounce you for any act of aggression and fall behind late game.

Indonesia: Gajah Mada is an illoyal missionary spammer, that constantly either wants to war someone together with you or wars you. Avoid him as a friend, pick his enemies over him.

Iroquis: Hiawatha is peaceful and friendly, loyal and supportive. He will grab a shit ton of land tho, so if he is next to you, you have to settle as fast as you can. He will not build a huge army or go nto aggression at all usually, but the settling will make you aggressive no doubt.

Japan: Oda Nobunaga will try to go to war and fail miserably, usually. On occasion he might be strong but in 99% of the cases he sucks.

Korea: Isolationist science spammer. Sejong focuses on science and often tries to avoid any contact to foreign people. If he is in your game, watch out for him and, if necessary, eliminate him. On the highest difficulties, he is one of the most likely people to steal your victory.

Maya: Pacal will build a lot of wonders and send a lot of missionaries your way. He will also hate you for anything you do. Often, war becomes inevitable late game.

Mongolia: Thankfully, the ai doesn't know how to utilize the keshiks, since they are brutal. Gengis Khan alwayas attacks random city states and is moderately successful at it. He is also very loyal unless you do something extremely against his interests multiple times. He often gets rekt by the other ais.

Morocco: Ahmad will build a strong economy and try to get petra. He will make use of defensive unitd to protect himself, as he will likely be the defender, not the aggressor in wars. He is diplomatically active and likes to buy city states.

Ottoman: Suleyman always tries to go to war and makes plans. He builds an army and a navy, but is not good at using either, so he won't develop into a real threat.

Persia: Darius is good but not great in all aspects and behaves accordingly.

Poland: Casimir is often focused on building up a land army of winged hussars, which are pretty strong units, and going for the attack on whoever is close to him. Can become really annoying, when he takes over his entire continent and snowballs the game. He is focused on war, diplomatically probably everyone hates him, so don't befriend him, he might backstab you.

Polynesia: Kamehameha will likely forward-settle you, which is stupid, but otherwise is quite friendly, if he is your neighbour. If he isn't totally overpowering you, he will stay friendly. He might try to get you to war others tho, so you gotta prepare for being asked to join his campaigns constantly.

Portugal: Maria is a stupid bitch. Enough said.

Rome: Augustus is good at building a military and will also dedicate some time to get multiple good cities up. Overall, he has a more military focused personality but will try to grab the occasional wonder or city state alliance. He won't get a religion likely. Expect him to fall off after the renaissance.

Russia: Aside from Catherine trying to seduce you she does very well most games. Her bonuses favor her going order and she always does no matter what. She might get a religion. She will build up a respectable army and also try to go hard on resources. Expect her to snowball if she has her own continent to herself.

Shoshone: Fucking Pocatello. This guy grabs a ton of land, settles cities near you, and grabs even more land. Then, he complains about you settling close to him. The problem is, due to getting this op amount of land, he will also do good in the games and might come in hot for science victory, too.

Siam: Ramlhamhaeng will try to ally all city states. He is not very good at anything beside that and his army is usually inferior, but being at war with city states isn't great either I guess. He is unfriendly and will denounce you no matter what. If he is your neighbour, you should eliminate him at some point.

Songhai: Askia likes to send missionaries your way like there is no tomorrow. He will be friendly early, but late game he could declare war on you if he sees fit. He might also occasionally terrorize your city states, which is dumb.

Spain: Isabella has a very volatile personality, but expect her to be nice enough to you. If she gets a religion and a religious natural wonder, she will be the most annoying christian you have ever seen. She might send out conquistadores to settle in the mid game.

Sweden: Gustavus Adolphus someohow always becomes friends with everyone so you have to befriend him, too, even though is a major douchebag. He will try to grow big cities and get a lot of great people. Not really a victory contender, but a pain in the ass nonetheless.

Venice: Enrico Dandolo is focused on trading, buying city states and becoming allies with other city states. If he buys cultural city states, it can be very frustrating. Aside from that, he is quite friendly but usually someine will hate him.

Zulu: If he spawns near you, you will be at war multiple times, no choice given. Otherwise, he is a loyal ally if you have the bigger stick.",2.47
im_a_noob_can_you_describe_all_civ_personalities,jonatanr2000,29,Really great answer! I enjoyed reading all of it.,1.78
im_a_noob_can_you_describe_all_civ_personalities,recordlineup,15,"Haha ""Maria is a stupid bitch"". Best answer by far",1.49
im_a_noob_can_you_describe_all_civ_personalities,trovao9p,5,"As an Portuguese my self I used for my first time in this game, Wich was 2 days ago :)",1.01
im_a_noob_can_you_describe_all_civ_personalities,recordlineup,1,Haha that's great. Hope you enjoy the game as much as I do. 3200+ hours and counting and I keep coming back!,0.3
im_a_noob_can_you_describe_all_civ_personalities,PeanutButter1Butter,11,"This is a good run down of the Civs. Some of them I can’t personally verify because I usually spawn far away from them, like Portugal. 

It was also neat to read about some behavior the AI never displayed to me, even if I was their next door neighbor. For example, Askia liking to repeatedly send missionaries or Poland being a warmonger against me. 

Overall, good list.",1.36
im_a_noob_can_you_describe_all_civ_personalities,XxDiCaprioxX,7,"Thanks haha, glad you liked it. To Poland: they only do that when their neighbour is ai, they never did it to me",1.16
im_a_noob_can_you_describe_all_civ_personalities,iFlyAllTheTime,6,I'm saving this answer 'cause I enjoyed reading every bit of it!💛,1.09
im_a_noob_can_you_describe_all_civ_personalities,XxDiCaprioxX,1,"Haha thanks, I enjoyed writing it, too &lt;3",0.3
im_a_noob_can_you_describe_all_civ_personalities,empty_yellow_hat,6,Damn! High effort response to a low effort post.,1.09
