leader_name,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5,n_mentions
AhmadalMansur,peaceful trader,wonder spammer,friendly ally,easy target,,6
Alexander,aggressive warmonger,city-state hog,diplomatic bully,forward settler,backstabbing betrayer,44
Ashurbanipal,aggressive warmonger,intimidating neighbor,respectful leader,frequent opponent,,5
Askia,opportunistic backstabber,weak warmonger,diplomatic flip-flopper,punching bag,,7
Attila,early game rusher,relentless warmonger,annoying neighbor,late game weakling,backstabbing betrayer,17
Augustus,backstabbing betrayer,aggressive expansionist,late game threat,unpredictable ally,,12
Bismark,aggressive expansionist,hypocritical warmonger,chronic backstabber,territorial bully,reasonable fighter,12
Boudicca,missionary spammer,two-faced betrayer,aggressive expansionist,culture wonder grabber,early game victim,8
Casimir,city spammer,forgiving diplomatic,competitive contender,warmonger,,6
Catherine,city spammer,strong competitor,friendly then hostile,early game snowball,military powerhouse,14
Darius,scheming warmonger,runaway threat,production powerhouse,opportunistic backstabber,,3
Dido,backstabbing traitor,aggressive warmonger,early game bully,inconsistent diplomat,,7
Elizabeth,annoying backstabber,wonder hog,unreasonable warmonger,untrustworthy diplomat,,16
EnricoDandolo,city state buyer,annoying neighbor,wonder spammer,missionary spammer,,8
GajahMada,deceptive warmonger,hypocritical leader,annoying personality,persistent mocker,,2
Gandhi,nuclear warmonger,peaceful pushover,fickle backstabber,wonder spammer,,13
GenghisKhan,aggressive warmonger,city state destroyer,disloyal neighbor,loyal distant ally,diplomatic pariah,15
Gustavus,friendly ally,weak underperformer,peaceful builder,forward settler,,8
Harald,reasonable warrior,friendly fighter,balanced leader,,,1
HarunAlRashid,city spammer,science powerhouse,diplomatic manipulator,religious spreader,late game threat,7
Hiawatha,city spammer,aggressive expansionist,annoying neighbor,early game threat,,19
Isabella,religious spammer,backstabbing betrayer,annoying chatter,weak threat,,7
Kamehameha,annoying city spammer,coastal settler,weak expandor,culture builder,diplomatic favorite,6
Maria,city state thief,passive aggressive,expansionist threat,culture powerhouse,,5
MariaI,distant spawn,,,,,1
Montezuma,relentless warmonger,honest aggressor,arrogant demander,forgiving enemy,,14
Napoleon,aggressive warmonger,opportunistic bully,culture civ,city state buyer,,11
Nebuchadnezzar,science threat,defensive turtle,wonder competitor,difficult diplomat,,6
OdaNobunaga,aggressive warmonger,unpredictable psychopath,forward settler,persistent enemy,,7
Pacal,wonder spammer,religious focused,peaceful neighbor,great person trader,,7
Pachacuti,aggressive expander,tech powerhouse,treacherous friend,forward settler,,3
Pedro,peaceful friend,culture leader,diplomatic ally,,,4
Pocatello,rapid expansionist,reliable ally,competent AI,territory grabber,,9
Ramesses,wonder hog,irritable cranky,runaway potential,culture focused,tall builder,9
Ramkhamhaeng,annoying hypocrite,aggressive settler,city state hog,religious spammer,untrustworthy backstabber,12
Sejong,science monster,late game threat,city spammer,boom or bust,,10
Selassie,religious spammer,passive turtle,wonder coveter,annoying hypocrite,,14
Shaka,extreme warmonger,loyal friend,aggressive expander,honest straightforward,terrible neighbor,39
Suleiman,backstabbing opportunist,friendly deceiver,forward settler,ineffective aggressor,,9
Theodora,religious powerhouse,passive ally,wonder builder,consistent runaway,,8
Washington,hypocritical warmonger,backstabbing friend,expansionist conqueror,consistent winner,,7
William,friendly neighbor,city spammer,research partner,unpredictable warmonger,,8
WuZetian,backstabbing antagonist,neutral trader,weak militarily,dramatic personality,,6
