type,leader_name,cluster,sentiment_score,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5,n_mentions,total_weight,confidence_score,leaders
leader,Casimir,0.0,0.1396011396011396,city spammer,forgiving diplomatic,competitive contender,warmonger,,6.0,7.02,0.24119866180429234,
leader,Elizabeth,0.0,-0.7971552257266542,annoying backstabber,wonder hog,unreasonable warmonger,untrustworthy diplomat,,16.0,16.17,0.5116596225634231,
leader,Gustavus,0.0,-0.06546275395033861,friendly ally,weak underperformer,peaceful builder,forward settler,,8.0,8.86,0.3071959358099579,
leader,Hiawatha,0.0,-0.5463258785942492,city spammer,aggressive expansionist,annoying neighbor,early game threat,,19.0,21.91,0.6012318161426031,
leader,Kamehameha,0.0,-0.6369426751592356,annoying city spammer,coastal settler,weak expandor,culture builder,diplomatic favorite,6.0,6.28,0.2284741844532579,
leader,Maria,0.0,-0.1934826883910387,city state thief,passive aggressive,expansionist threat,culture powerhouse,,5.0,4.91,0.18257146103559418,
leader,MariaI,0.0,0.0,distant spawn,,,,,1.0,1.36,0.007749420786876819,
leader,Pocatello,0.0,0.18015963511972635,rapid expansionist,reliable ally,competent AI,territory grabber,,9.0,8.77,0.3220564778068364,
leader,Washington,0.0,-0.592944369063772,hypocritical warmonger,backstabbing friend,expansionist conqueror,consistent winner,,7.0,7.37,0.2659769272575544,
leader,William,0.0,0.12077294685990336,friendly neighbor,city spammer,research partner,unpredictable warmonger,,8.0,8.280000000000001,0.2981982383147078,
leader,Alexander,1.0,-0.6715650257163851,aggressive warmonger,city-state hog,diplomatic bully,forward settler,backstabbing betrayer,44.0,54.44,1.0,
leader,Augustus,1.0,-0.5319894829097284,backstabbing betrayer,aggressive expansionist,late game threat,unpredictable ally,,12.0,11.41,0.4038907907668017,
leader,Bismark,1.0,-0.47876106194690266,aggressive expansionist,hypocritical warmonger,chronic backstabber,territorial bully,reasonable fighter,12.0,11.3,0.40234823989205376,
leader,Catherine,1.0,-0.11323328785811733,city spammer,strong competitor,friendly then hostile,early game snowball,military powerhouse,14.0,14.66,0.4707836456797678,
leader,Napoleon,1.0,-0.6296975252062328,aggressive warmonger,opportunistic bully,culture civ,city state buyer,,11.0,10.91,0.3833714383373186,
leader,OdaNobunaga,1.0,-0.1339421613394216,aggressive warmonger,unpredictable psychopath,forward settler,persistent enemy,,7.0,6.57,0.2518661375689239,
leader,Suleiman,1.0,0.1054945054945055,backstabbing opportunist,friendly deceiver,forward settler,ineffective aggressor,,9.0,9.1,0.32722313430654826,
leader,Ashurbanipal,2.0,0.3253968253968254,aggressive warmonger,intimidating neighbor,respectful leader,frequent opponent,,5.0,5.04,0.18520482071416355,
