leader_name,WarmongerHate,WonderCompetitiveness,VictoryCompetitiveness,Loyalty,MinorCivCompetitiveness,warrior,friendliness,deceptiveness,city_state_benefactor,minor_ignore,naval,defense,science,EXPANSION,GROWTH,WONDER,CULTURE,RELIGION,DIPLOMACY
AhmadalMansur,4.883720930232558,3.9069767441860463,4.744186046511628,5.534883720930233,4.953488372093023,4.376744186046512,6.3023255813953485,4.8604651162790695,5.627906976744186,4.604651162790698,4.981395348837209,5.837209302325581,4.244186046511628,2.7441860465116283,5.883720930232558,3.8604651162790695,6.1395348837209305,5.348837209302325,4.465116279069767
Alexander,1.883720930232558,6.906976744186046,7.744186046511628,3.5348837209302326,2.953488372093023,6.576744186046512,3.8023255813953485,3.8604651162790695,6.127906976744186,4.604651162790698,5.581395348837209,4.337209302325581,5.744186046511628,6.744186046511628,3.883720930232558,5.8604651162790695,6.1395348837209305,4.348837209302325,8.465116279069768
Ashurbanipal,3.883720930232558,4.906976744186046,4.744186046511628,4.534883720930233,2.953488372093023,6.776744186046512,3.8023255813953485,3.8604651162790695,3.3779069767441863,4.604651162790698,4.981395348837209,3.337209302325581,6.244186046511628,4.744186046511628,4.883720930232558,4.8604651162790695,4.1395348837209305,3.3488372093023253,3.4651162790697674
Askia,3.883720930232558,7.906976744186046,4.744186046511628,5.534883720930233,3.953488372093023,6.576744186046512,4.3023255813953485,2.8604651162790695,3.1279069767441863,5.604651162790698,5.981395348837209,3.837209302325581,5.244186046511628,3.7441860465116283,5.883720930232558,2.8604651162790695,5.1395348837209305,6.348837209302325,4.465116279069767
Attila,2.883720930232558,2.9069767441860463,6.744186046511628,3.5348837209302326,2.953488372093023,7.376744186046512,2.8023255813953485,7.8604651162790695,2.6279069767441863,5.604651162790698,3.981395348837209,2.837209302325581,3.2441860465116283,5.744186046511628,3.883720930232558,4.8604651162790695,4.1395348837209305,4.348837209302325,4.465116279069767
Augustus,3.883720930232558,5.906976744186046,6.744186046511628,3.5348837209302326,7.953488372093023,5.376744186046512,4.3023255813953485,5.8604651162790695,5.127906976744186,5.604651162790698,4.581395348837209,5.337209302325581,5.744186046511628,6.744186046511628,4.883720930232558,5.8604651162790695,4.1395348837209305,3.3488372093023253,4.465116279069767
Bismark,5.883720930232558,5.906976744186046,6.744186046511628,5.534883720930233,6.953488372093023,5.176744186046513,5.3023255813953485,6.8604651162790695,4.877906976744186,4.604651162790698,3.581395348837209,5.337209302325581,6.744186046511628,5.744186046511628,4.883720930232558,3.8604651162790695,4.1395348837209305,2.3488372093023253,4.465116279069767
Boudicca,3.883720930232558,3.9069767441860463,5.744186046511628,5.534883720930233,4.953488372093023,5.776744186046512,3.3023255813953485,5.8604651162790695,3.8779069767441863,6.604651162790698,4.981395348837209,5.337209302325581,4.744186046511628,3.7441860465116283,3.883720930232558,3.8604651162790695,6.1395348837209305,7.348837209302325,4.465116279069767
Casimir,6.883720930232558,4.906976744186046,4.744186046511628,6.534883720930233,5.953488372093023,6.176744186046513,6.3023255813953485,2.8604651162790695,4.877906976744186,3.604651162790698,3.981395348837209,4.837209302325581,4.244186046511628,5.744186046511628,3.883720930232558,5.8604651162790695,5.1395348837209305,6.348837209302325,5.465116279069767
Catherine,4.883720930232558,6.906976744186046,5.744186046511628,5.534883720930233,6.953488372093023,4.576744186046512,5.8023255813953485,6.8604651162790695,4.627906976744186,4.604651162790698,2.981395348837209,5.337209302325581,7.744186046511628,6.744186046511628,2.883720930232558,4.8604651162790695,5.1395348837209305,5.348837209302325,4.465116279069767
Darius,4.883720930232558,3.9069767441860463,6.744186046511628,6.534883720930233,3.953488372093023,3.176744186046512,6.3023255813953485,4.8604651162790695,3.8779069767441863,5.604651162790698,4.581395348837209,5.837209302325581,5.244186046511628,3.7441860465116283,5.883720930232558,5.8604651162790695,4.1395348837209305,5.348837209302325,4.465116279069767
Dido,3.883720930232558,3.9069767441860463,6.744186046511628,5.534883720930233,4.953488372093023,6.176744186046513,4.3023255813953485,7.8604651162790695,5.127906976744186,4.604651162790698,7.181395348837209,4.337209302325581,4.244186046511628,5.744186046511628,4.883720930232558,2.8604651162790695,3.1395348837209305,4.348837209302325,6.465116279069767
Elizabeth,6.883720930232558,4.906976744186046,4.744186046511628,4.534883720930233,7.953488372093023,4.376744186046512,4.3023255813953485,5.8604651162790695,5.127906976744186,5.604651162790698,7.381395348837209,5.337209302325581,5.244186046511628,4.744186046511628,3.883720930232558,4.8604651162790695,5.1395348837209305,4.348837209302325,5.465116279069767
