leader_name,cluster
AhmadalMansur,2
Alexander,1
Ashurbanipal,1
Askia,1
Attila,1
Augustus,3
Bismark,3
Boudicca,1
Casimir,3
Catherine,3
Darius,2
Dido,4
Elizabeth,4
EnricoDandolo,2
GajahMada,4
Gandhi,0
GenghisKhan,1
Gustavus,3
Harald,4
HarunAlRashid,0
Hiawatha,0
Isabella,4
Kamehameha,4
Maria,0
MariaI,2
Montezuma,1
Napoleon,1
Nebuchadnezzar,3
OdaNobunaga,1
Pacal,0
Pachacuti,3
Pedro,2
Pocatello,0
Ramesses,3
Ramkhamhaeng,0
Sejong,2
Selassie,0
Shaka,1
Suleiman,4
Theodora,2
Washington,3
William,4
WuZetian,3
