leader_name,archetype_1,archetype_2,archetype_3,n_mentions
AhmadalMansur,peaceful merchant,wonder spammer,friendly ally,6
Alexander,aggressive warmonger,city-state hog,diplomatic bully,44
Ashurbanipal,aggressive warmonger,respectful warrior,,5
Askia,backstabbing opportunist,failed warmonger,missionary spammer,7
Attila,early game menace,relentless warmonger,late game irrelevant,17
Augustus,opportunistic backstabber,aggressive expansionist,late game threat,12
Bismark,reasonable warmonger,aggressive settler,chronic backstabber,12
Boudicca,missionary spammer,backstabbing flip-flopper,early aggressor,8
Casimir,city spammer,forgiving diplomatic,competitive threat,6
Catherine,city spammer,strong competitor,bipolar friend,14
Darius,scheming opportunist,production powerhouse,science threat,3
Dido,backstabbing betrayer,aggressive warmonger,early game rusher,7
Elizabeth,annoying backstabber,wonder hog,hostile warmonger,16
EnricoDandolo,city state buyer,wonder spammer,annoying missionary,8
GajahMada,deceptive warmonger,hypocritical leader,annoying personality,2
Gandhi,nuclear warmonger,peaceful pushover,fickle backstabber,13
GenghisKhan,aggressive warmonger,city state killer,loyal ally,15
Gustavus,friendly ally,weak peaceful,forward settler,8
Harald,reasonable warrior,beloved favorite,,1
HarunAlRashid,city spammer,diplomatic manipulator,science powerhouse,7
Hiawatha,city spammer,aggressive expansionist,annoying neighbor,19
Isabella,religious spammer,backstabbing denouncer,annoying pest,7
Kamehameha,annoying city spammer,weak explorer,culture builder,6
Maria,city-state stealer,passive-aggressive backstabber,culture civ,5
MariaI,distant isolationist,,,1
Montezuma,aggressive warmonger,honest enemy,entertaining villain,14
Napoleon,aggressive warmonger,opportunistic bully,culture competitor,11
Nebuchadnezzar,science threat,defensive turtle,wonder hog,6
OdaNobunaga,aggressive warmonger,unpredictable psychopath,persistent enemy,7
Pacal,wonder stealer,religious builder,peaceful neighbor,7
Pachacuti,aggressive settler,treacherous friend,tech rusher,3
Pedro,peaceful diplomat,cultural player,,4
Pocatello,territorial expansionist,competent AI,neutral bro,9
Ramesses,wonder hog,irritable leader,runaway potential,9
Ramkhamhaeng,backstabbing hypocrite,aggressive settler,city state hog,12
Sejong,science monster,late game threat,city spammer,10
Selassie,religious spammer,defensive turtle,hypocritical warmonger,14
Shaka,aggressive warmonger,loyal friend,city spammer,39
Suleiman,opportunistic backstabber,forward settler,diplomatic schemer,9
Theodora,religious peaceful,reliable ally,wonder builder,8
Washington,hypocritical backstabber,opportunistic aggressor,consistent winner,7
William,friendly neighbor,city spammer,unpredictable warmonger,8
WuZetian,backstabbing denouncer,neutral trader,,6
