leader_name,cluster,archetype_1,archetype_2,archetype_3,n_mentions
AhmadalMansur,4,peaceful trader,wonder spammer,diplomatic friend,7
Alexander,1,city state hog,aggressive warmonger,diplomatic bully,43
Ashurbanipal,2,aggressive warmonger,early game threat,,6
Askia,2,opportunistic backstabber,religious spammer,boom or bust,8
Attila,2,early game aggressor,relentless warmonger,late game joke,17
Augustus,1,opportunistic backstabber,military focused,late game competitor,11
Bismark,1,reasonable warmonger,chronic backstabber,runaway leader,9
Boudicca,2,religious missionary spammer,unpredictable two-faced,early game aggressor,9
Casimir,0,aggressive warmonger,city spammer,strong competitor,7
Catherine,1,city spammer,strong competitor,diplomatic manipulator,15
Darius,4,scheming threat,under radar warmonger,well rounded,4
Dido,2,untrustworthy backstabber,aggressive expansionist,early warmonger,8
Elizabeth,0,annoying backstabber,wonder hog,naval warmonger,16
EnricoDandolo,4,city state buyer,annoying merchant,friendly trader,9
GajahMada,2,deceptive warmonger,missionary spammer,disloyal friend,2
Gandhi,3,nuclear warmonger,peaceful pushover,fickle denouncer,13
GenghisKhan,2,city state killer,loyal warmonger,self-destructive aggressor,17
Gustavus,0,diplomatic friend,peaceful builder,forward settler,10
Harald,2,aggressive warmonger,naval attacker,early game threat,2
HarunAlRashid,4,science powerhouse,city spammer,diplomatic schemer,8
Hiawatha,0,city spammer,peaceful expander,annoying neighbor,18
Isabella,2,religious zealot,backstabbing ally,annoying pest,7
Kamehameha,0,annoying forward settler,weak performer,diplomatic manipulator,6
Maria,0,passive aggressive,city state buyer,diplomatic annoyance,7
MariaI,0,distant isolated,,,1
Montezuma,2,aggressive warmonger,honest aggressor,consistent threat,15
Napoleon,1,aggressive warmonger,opportunistic attacker,culture competitor,12
Nebuchadnezzar,4,science powerhouse,defensive turtle,wonder competitor,6
OdaNobunaga,1,inconsistent warmonger,aggressive settler,unpredictable psychopath,8
Pacal,4,wonder hoarder,religious spammer,late game enemy,8
Pachacuti,4,treacherous backstabber,forward settler,tech rusher,4
Pedro,4,loyal friend,culture focused,peaceful leader,5
Pocatello,0,land grabber,science threat,passive neighbor,9
Ramesses,4,wonder spammer,irritable leader,runaway threat,10
Ramkhamhaeng,3,hypocritical warmonger,city state hog,untrustworthy backstabber,12
Sejong,4,science threat,city spammer,late game monster,11
Selassie,3,religious spammer,annoying turtle,hypocritical warmonger,14
Shaka,2,extreme warmonger,loyal friend,city spammer,39
Suleiman,1,ineffective warmonger,opportunistic backstabber,forward settler,10
Theodora,4,peaceful diplomat,religious spreader,passive builder,8
Washington,0,hypocritical backstabber,tech leader,wonder whore,8
William,0,peaceful diplomat,reliable friend,wonder builder,10
WuZetian,4,defensive neutral,reasonable trader,,5
